Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
3,2,2,4,4.297657524,1.132823058,3,Incongruent,C
3,1,2,2,2.562363744,0.586250454,1,Incongruent,C
3,1,1,4,2.642283137,0.838902961,3,Congruent,C
3,1,1,4,3.601745801,0.505957729,3,Incongruent,C
3,2,2,4,2.805796991,0.882471674,2,Incongruent,C
3,2,2,3,3.196708849,0.406960639,1,Congruent,C
3,1,1,4,3.618909656,0.83952901,2,Congruent,C
3,1,1,4,4.463918448,0.80060726,2,Congruent,C
3,1,1,4,3.995826472,1.673700085,1,Incongruent,C
3,2,1,4,4.057230218,0.78984544,2,Congruent,C
3,1,1,4,3.518961184,0.899512863,3,Incongruent,C
3,1,1,3,4.717173209,1.310211339,2,Congruent,C
3,2,2,4,2.878723991,1.28587786,3,Congruent,C
3,1,1,4,4.284001352,0.770444052,1,Incongruent,C
3,1,1,2,5.898757583,1.368413862,3,Incongruent,C
3,2,2,4,4.994857449,0.637570533,2,Congruent,C
3,2,2,4,3.375775896,0.9926753,3,Incongruent,C
3,2,2,4,3.750110154,0.738849053,3,Incongruent,C
3,1,1,4,3.295438863,0.648725788,3,Congruent,C
3,1,1,4,2.223763142,0.727818106,1,Incongruent,C
3,1,1,4,2.589121011,0.89083391,2,Congruent,C
3,2,2,4,2.359404654,0.879414451,1,Incongruent,C
3,1,1,4,2.564311637,0.757426238,1,Congruent,C
3,1,1,4,4.52011195,0.648269173,2,Incongruent,C
3,1,1,4,5.240825664,0.725619547,2,Incongruent,C
3,2,1,NaN,4.928369817,NaN,1,Congruent,C
3,2,2,3,2.899660555,0.94056589,3,Congruent,C
3,1,2,4,3.08163303,1.247130879,2,Incongruent,C
3,2,2,4,3.212722758,0.548664496,1,Incongruent,C
3,2,2,4,3.719707357,1.180121813,3,Congruent,C
3,2,2,4,3.112552749,0.788791494,3,Congruent,C
3,1,2,2,2.630371782,1.330635084,1,Incongruent,C
3,2,2,4,2.616071509,0.563855022,1,Incongruent,C
3,2,1,4,3.523368558,0.673977418,2,Congruent,C
3,1,1,4,2.296614244,1.725233087,3,Congruent,C
3,2,2,4,2.998064005,0.804129303,1,Congruent,C
3,1,2,3,3.711379582,1.251827893,1,Congruent,N
3,2,2,3,2.417816818,1.275550501,1,Congruent,N
3,2,1,1,2.995118781,0.418910559,3,Incongruent,N
3,1,2,2,5.668331893,1.541216719,3,Congruent,N
3,1,1,4,4.081672825,0.811087234,2,Incongruent,N
3,1,2,NaN,3.224828985,NaN,1,Incongruent,N
3,2,2,3,5.353886308,2.182544371,3,Congruent,N
3,1,2,4,3.806578938,0.827711604,1,Incongruent,N
3,1,1,4,2.252181123,0.682489397,2,Incongruent,N
3,2,2,4,4.76676119,0.958073129,2,Congruent,N
3,2,1,3,3.161690269,0.852674004,3,Incongruent,N
3,2,2,4,4.87069078,0.790669233,3,Incongruent,N
3,1,1,3,3.956825132,0.80565094,2,Congruent,N
3,1,1,4,6.016749087,0.782414484,1,Congruent,N
3,1,1,3,3.017829289,1.046385117,1,Incongruent,N
3,2,2,4,4.175745619,1.022867226,3,Congruent,N
